,Well_Name,Well_Types
536,MW-53d,Monitoring Wells
537,MW-53i,Monitoring Wells
538,MW-53s,Monitoring Wells
539,MW-54d,Monitoring Wells
540,MW-54s,Monitoring Wells
541,MW-55,Monitoring Wells
542,MW-56d,Monitoring Wells
543,MW-56s,Monitoring Wells
544,MW-57,Monitoring Wells
545,MW-58d,Monitoring Wells
546,MW-58s,Monitoring Wells
547,MW-59d,Monitoring Wells
548,MW-59s,Monitoring Wells
549,MW-5d,Monitoring Wells
550,MW-5s,Monitoring Wells
551,MW-60,Monitoring Wells
552,MW-61d,Monitoring Wells
553,MW-61s,Monitoring Wells
554,MW-62d,Monitoring Wells
555,MW-62i,Monitoring Wells
556,MW-62s,Monitoring Wells
557,MW-63d,Monitoring Wells
558,MW-63i,Monitoring Wells
559,MW-63s,Monitoring Wells
560,MW-64,Monitoring Wells
561,MW-65d,Monitoring Wells
562,MW-65i,Monitoring Wells
563,MW-65s,Monitoring Wells
564,MW-66,Monitoring Wells
565,MW-67,Monitoring Wells
566,MW-68,Monitoring Wells
567,MW-69,Monitoring Wells
568,MW-70,Monitoring Wells
569,MW-71,Monitoring Wells
570,MW-72d,Monitoring Wells
571,MW-72s,Monitoring Wells
572,MW-75,Monitoring Wells
573,MW-76d,Monitoring Wells
574,MW-76i,Monitoring Wells
575,MW-76s,Monitoring Wells
576,MW-77,Monitoring Wells
577,MW-78,Monitoring Wells
578,MW-79d,Monitoring Wells
579,MW-79s,Monitoring Wells
580,MW-81,Monitoring Wells
581,MW-82d,Monitoring Wells
582,MW-82s,Monitoring Wells
583,MW-83d,Monitoring Wells
584,MW-83s,Monitoring Wells
585,MW-84d,Monitoring Wells
586,MW-84s,Monitoring Wells
587,MW-85,Monitoring Wells
588,MW-86,Monitoring Wells
589,MW-87d,Monitoring Wells
590,MW-87s,Monitoring Wells
591,MW-88,Monitoring Wells
592,MW-89,Monitoring Wells
593,MW-8d,Monitoring Wells
594,MW-8s,Monitoring Wells
595,MW-90,Monitoring Wells
596,MW-91,Monitoring Wells
597,MW-92,Monitoring Wells
598,MW-93,Monitoring Wells
599,MW-94d,Monitoring Wells
600,MW-94s,Monitoring Wells
601,MW-95,Monitoring Wells
602,MW-96,Monitoring Wells
603,MW-97d,Monitoring Wells
604,MW-97s,Monitoring Wells
605,MW-98d,Monitoring Wells
606,MW-98s,Monitoring Wells
607,MW-99d,Monitoring Wells
608,MW-99s,Monitoring Wells
609,MW-9d,Monitoring Wells
610,MW-BE-1d,Monitoring Wells
611,MW-BE-1s,Monitoring Wells
612,MW-KD-1d,Monitoring Wells
613,MW-KD-1s,Monitoring Wells
614,MW-KZ-1,Monitoring Wells
615,NMW-1d,Monitoring Wells
616,NMW-1s,Monitoring Wells
617,NMW-2d,Monitoring Wells
618,NMW-2s,Monitoring Wells
619,NMW-3d,Monitoring Wells
620,NMW-3s,Monitoring Wells
621,OUTFALL,Treatment System
622,Outfall,Treatment System
623,OUTFALL-BYPASS,Treatment System
624,OW-1,Monitoring Wells
625,PMW-1,Monitoring Wells
626,PMW-2,Monitoring Wells
627,PMW-3,Monitoring Wells
628,PMW-4,Monitoring Wells
629,Production Well #1,Miscellaneous Wells
630,Production Well #2,Miscellaneous Wells
631,Production Well #4,Miscellaneous Wells
632,Production Well #5,Miscellaneous Wells
